,거래소코드,회계년도,종가,상장주식수,시가총액
38,033780,2021/12,79000,137292497,10846107263000
38,035720,2014/12,123600,57699951,7131713943600
38,042660,2013/12,35000,191390758,6698676530000
38,086280,2015/12,193000,37500000,7237500000000
38,088350,2012/12,7760,868530000,6739792800000
38,161390,2016/12,58000,123875069,7184754002000
39,000030,2014/12,10000,676278371,6762783710000
39,009150,2018/12,103500,74693696,7730797536000
39,009830,2020/12,47900,159864497,7657509406300
39,021240,2019/12,93100,73799619,6870744528900
39,024110,2013/12,12150,550195005,6684869310750
39,024110,2016/12,12700,559978815,7111730950500
39,030200,2017/12,30250,261111808,7898632192000
39,078930,2012/12,72000,92915378,6689907216000
39,086790,2015/12,23600,296003062,6985672263200
39,088350,2011/12,7400,868530000,6427122000000
39,251270,2021/12,125000,85953502,10744187750000
40,001800,2015/12,1166000,5976091,6968122106000
40,002790,2019/12,82700,82458180,6819291486000
40,004020,2017/12,58600,133445785,7819923001000
40,010130,2020/12,401500,18870000,7576305000000
40,023530,2016/12,221500,31490892,6975232578000
40,032640,2018/12,17650,436611361,7706190521650
40,034020,2021/12,20400,520920876,10626785870400
40,035250,2013/12,30950,213940500,6621458475000
40,090430,2011/12,1052000,5845849,6149833148000
40,139480,2012/12,238000,27875819,6634444922000
40,161390,2014/12,52700,123875069,6528216136300
41,003490,2021/12,29350,347820825,10208541213750
41,006400,2011/12,133500,45558341,6082038523500
41,021240,2016/12,88300,76380513,6744399297900
41,024110,2019/12,11800,577156979,6810452352200
41,028050,2012/12,165500,40000000,6620000000000
41,035250,2014/12,30400,213940500,6503791200000
41,035250,2018/12,32000,213940500,6846096000000
41,035720,2015/12,115800,60096088,6959126990400
41,088350,2013/12,7590,868530000,6592142700000
41,139480,2017/12,271000,27875819,7554346949000
41,316140,2020/12,9730,722267683,7027664555590
42,001800,2012/12,1099000,5966890,6557612110000
42,009150,2017/12,100000,74693696,7469369600000
42,021240,2014/12,84200,77124796,6493907823200
42,024110,2015/12,12350,556401958,6871564181300
42,034220,2018/12,18050,357815700,6458573385000
42,034730,2011/12,117000,50000000,5850000000000
42,035250,2019/12,29600,213940500,6332638800000
42,036460,2013/12,66600,92313000,6148045800000
42,047810,2016/12,67000,97475107,6530832169000
42,086280,2020/12,184000,37500000,6900000000000
42,090430,2021/12,167000,58492759,9768290753000
43,001800,2014/12,1015000,5974969,6064593535000
43,004990,2018/12,52700,116566237,6143040689900
43,009540,2015/12,87800,76000000,6672800000000
43,010130,2013/12,318000,18870000,6000660000000
43,010950,2021/12,85700,112582792,9648345274400
43,024110,2012/12,11850,546001430,6470116945500
43,032640,2019/12,14200,436611361,6199881326200
43,034220,2020/12,18550,357815700,6637481235000
43,035250,2011/12,27200,213940500,5819181600000
43,035250,2017/12,34800,213940500,7445129400000
43,086280,2016/12,154500,37500000,5793750000000
44,000720,2018/12,54600,111355765,6080024769000
44,004020,2015/12,49950,133445785,6665616960750
44,009150,2011/12,77700,74693696,5803700179200
44,010130,2021/12,511000,18870000,9642570000000
44,018880,2017/12,13900,533800000,7419820000000
44,018880,2019/12,11150,533800000,5951870000000
44,019170,2020/12,124000,52984990,6570138760000
44,035250,2012/12,29250,213940500,6257759625000
44,088350,2016/12,6530,868530000,5671500900000
44,090430,2013/12,1000000,5845849,5845849000000
44,139480,2014/12,203000,27875819,5658791257000
45,000810,2021/12,202000,47374837,9569717074000
45,001800,2013/12,949000,5971135,5666607115000
45,004020,2018/12,45250,133445785,6038421771250
45,010130,2011/12,304000,18870000,5736480000000
45,011170,2014/12,160000,34275419,5484067040000
45,018880,2016/12,10300,533800000,5498140000000
45,021240,2015/12,84100,77124796,6486195343600
45,021240,2017/12,97700,74818121,7309730421700
45,024110,2020/12,8840,738664360,6529792942400
45,034220,2019/12,16250,357815700,5814505125000
45,161390,2012/12,47000,123875069,5822128243000
46,001040,2016/12,187000,29176998,5456098626000
46,002380,2014/12,520000,10520000,5470400000000
46,002790,2018/12,72700,82458180,5994709686000
46,003600,2011/12,121000,46961812,5682379252000
46,003670,2020/12,104000,60988220,6342774880000
46,008930,2017/12,111000,62279874,6913066014000
46,009150,2013/12,73000,74693696,5452639808000
46,036460,2012/12,75100,77284510,5804066701000
46,088350,2015/12,7390,868530000,6418436700000
46,267250,2019/12,338000,16286617,5504876546000
46,402340,2021/12,66400,141467571,9393446714400
47,000030,2015/12,8820,676000000,5962320000000
47,001300,2011/12,101000,52437651,5296202751000
47,010950,2014/12,48400,112582792,5449007132800
47,023530,2018/12,211000,28288755,5968927305000
47,030200,2020/12,24000,261111808,6266683392000
47,036570,2013/12,248500,21914708,5445804938000
47,036570,2016/12,247500,21929022,5427432945000
47,042660,2012/12,27150,191390758,5196259079700
47,086280,2019/12,143000,37500000,5362500000000
47,161390,2017/12,54600,123875069,6763578767400
47,316140,2021/12,12700,728060549,9246368972300
48,006800,2019/12,7550,658316408,4970288880400
48,006800,2020/12,9440,645316408,6091786891520
48,010060,2011/12,219500,23849371,5234936934500
48,018880,2014/12,48400,106760000,5167184000000
48,018880,2018/12,10800,533800000,5765040000000
48,034730,2012/12,103000,50000000,5150000000000
48,035720,2016/12,77000,67615715,5206410055000
48,078930,2013/12,57300,92915378,5324051159400
48,128940,2017/12,584000,11163452,6519455968000
48,161390,2015/12,47050,123875069,5828321996450
48,263750,2021/12,138300,66221500,9158433450000
49,001300,2012/12,94200,52437651,4939626724200
49,004800,2016/12,145500,35117455,5109589702500
49,011780,2011/12,167500,30467691,5103338242500
49,018880,2015/12,51900,106760000,5540844000000
49,021240,2013/12,66400,77124796,5121086454400
49,028300,2019/12,114900,42738918,4910701678200
49,029780,2014/12,44200,115858891,5120962982200
49,034220,2021/12,24600,357815700,8802266220000
49,097950,2020/12,381000,15054186,5735644866000
49,215600,2017/12,93500,68001447,6358135294500
49,267250,2018/12,346000,16286617,5635169482000
50,002380,2013/12,468500,10520000,4928620000000
50,004940,2012/12,7620,644906826,4914190014120
50,005387,2014/12,134000,37613865,5040257910000
50,009240,2015/12,231500,23533928,5448104332000
50,011070,2021/12,364000,23667107,8614826948000
50,021240,2018/12,74100,73799619,5468551767900
50,029780,2011/12,38900,122958891,4783100859900
50,078930,2019/12,51600,92915378,4794433504800
50,139480,2016/12,183000,27875819,5101274877000
50,267250,2017/12,381000,16286617,6205201077000
50,352820,2020/12,160000,35623760,5699801600000
