,상장기간
2239,4
2240,5
2241,6
2242,7
2243,8
2244,9
2245,10
2246,11
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,1
2254,2
2255,3
2256,4
2257,5
2258,6
2259,4
2260,5
2261,6
2262,7
2263,8
2264,9
2265,10
2266,11
2267,12
2268,13
2269,14
2270,15
2271,1
2272,2
2273,3
2274,4
2275,5
2276,6
2277,7
2278,8
2279,3
2280,4
2281,5
2282,6
2283,7
2284,8
2285,9
2286,10
2287,11
2288,12
2289,13
2290,14
2291,0
2292,1
2293,2
2294,3
2295,4
2296,5
2297,6
2298,7
2299,8
2300,7
2301,8
2302,9
2303,10
2304,11
2305,12
2306,13
2307,14
2308,15
2309,16
2310,17
2311,18
2312,7
2313,8
2314,9
2315,10
2316,11
2317,12
2318,13
2319,14
2320,15
2321,16
2322,17
2323,18
2324,3
2325,4
2326,5
2327,2
2328,3
2329,4
2330,5
2331,6
2332,7
2333,8
2334,9
2335,10
2336,11
2337,12
2338,13
2339,18
2340,19
2341,20
2342,21
2343,22
2344,23
2345,24
2346,25
2347,26
2348,27
2349,28
2350,29
2351,0
2352,1
2353,2
2354,0
2355,0
2356,0
2357,0
2358,0
2359,1
2360,2
2361,1
2362,2
2363,3
2364,4
2365,5
2366,6
2367,7
2368,0
2369,0
2370,0
2371,0
2372,1
2373,1
2374,2
2375,3
2376,4
2377,23
2378,24
2379,25
2380,26
2381,27
2382,28
2383,29
2384,30
2385,31
2386,32
2387,33
2388,34
2389,11
2390,12
2391,13
2392,14
2393,15
2394,16
2395,17
2396,18
2397,19
2398,20
2399,21
2400,22
2401,16
2402,17
2403,18
2404,19
2405,20
2406,21
2407,22
2408,23
2409,24
2410,1
2411,2
2412,3
2413,4
2414,5
2415,6
2416,7
2417,8
2418,0
2419,0
2420,0
2421,0
2422,1
2423,2
2424,7
2425,8
2426,9
2427,10
2428,11
2429,12
2430,13
2431,14
2432,15
2433,16
2434,17
2435,18
2436,0
2437,1
2438,2
2439,3
2440,4
2441,5
2442,6
2443,5
2444,0
2445,0
2446,0
2447,0
2448,1
2449,2
2450,3
2451,4
2452,5
2453,6
2454,7
2455,10
2456,11
2457,12
2458,13
2459,14
2460,15
2461,16
2462,17
2463,18
2464,19
2465,20
2466,21
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,1
2475,2
2476,3
2477,0
2478,0
2479,1
2480,2
2481,3
2482,4
2483,5
2484,6
2485,7
2486,18
2487,19
2488,20
2489,21
2490,22
2491,23
2492,24
2493,25
2494,26
2495,27
2496,28
2497,29
2498,13
2499,14
2500,15
2501,16
2502,17
2503,18
2504,19
2505,20
2506,21
2507,22
2508,23
2509,24
2510,11
2511,12
2512,13
2513,14
2514,15
2515,16
2516,17
2517,18
2518,19
2519,20
2520,21
2521,22
2522,0
2523,0
2524,0
2525,0
2526,1
2527,2
2528,3
2529,7
2530,8
2531,9
2532,10
2533,11
2534,12
2535,13
2536,14
2537,15
2538,16
2539,17
2540,18
2541,0
2542,0
2543,0
2544,0
2545,0
2546,1
2547,2
2548,1
2549,2
2550,3
2551,4
2552,5
2553,6
2554,7
2555,8
2556,9
2557,9
2558,10
2559,11
2560,12
2561,13
2562,14
2563,15
2564,16
2565,17
2566,0
2567,0
2568,0
2569,0
2570,0
2571,1
2572,2
2573,3
2574,4
2575,5
2576,12
2577,13
2578,14
2579,15
2580,16
2581,17
2582,18
2583,19
2584,20
2585,21
2586,22
2587,23
2588,0
2589,0
2590,0
2591,0
2592,1
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,5
2601,6
2602,7
2603,8
2604,9
2605,10
2606,11
2607,12
2608,13
2609,14
2610,15
2611,16
2612,6
2613,7
2614,8
2615,9
2616,10
2617,11
2618,12
2619,13
2620,14
2621,15
2622,16
2623,17
2624,0
2625,1
2626,2
2627,3
2628,0
2629,0
2630,1
2631,2
2632,3
2633,4
2634,5
2635,10
2636,11
2637,12
2638,13
2639,14
2640,15
2641,16
2642,17
2643,18
2644,19
2645,20
2646,21
2647,1
2648,2
2649,3
2650,4
2651,9
2652,10
2653,11
2654,12
2655,13
2656,14
2657,15
2658,16
2659,17
2660,18
2661,19
2662,20
2663,1
2664,2
2665,3
2666,4
2667,5
2668,6
2669,7
2670,8
2671,9
2672,0
2673,0
2674,0
2675,0
2676,1
2677,2
2678,3
2679,4
2680,5
2681,6
2682,7
2683,8
2684,1
2685,2
2686,3
2687,4
2688,5
2689,0
2690,0
2691,0
2692,0
2693,1
2694,2
2695,3
2696,4
2697,5
2698,6
2699,7
2700,8
2701,4
2702,0
2703,0
2704,1
2705,2
2706,3
2707,4
2708,5
2709,6
2710,0
2711,1
2712,0
2713,1
2714,2
2715,2
2716,3
2717,4
2718,5
2719,6
2720,7
2721,8
2722,1
2723,2
2724,3
2725,4
2726,5
2727,6
2728,7
2729,8
2730,9
2731,10
2732,11
2733,12
2734,18
2735,19
2736,20
2737,21
2738,22
2739,23
2740,24
2741,25
2742,26
2743,27
2744,28
2745,29
2746,0
2747,0
2748,0
2749,0
2750,1
2751,2
2752,3
2753,4
2754,5
2755,6
2756,7
2757,8
2758,9
2759,10
2760,11
2761,12
2762,13
2763,14
2764,0
2765,1
2766,2
2767,3
2768,4
2769,5
2770,6
2771,7
2772,8
2773,9
2774,10
2775,11
2776,12
2777,13
2778,14
2779,15
2780,0
2781,0
2782,0
2783,0
2784,1
2785,0
2786,0
2787,0
2788,0
2789,1
2790,2
2791,3
2792,4
2793,5
2794,6
2795,18
2796,19
2797,20
2798,21
2799,22
2800,23
2801,24
2802,25
2803,26
2804,27
2805,28
2806,29
2807,11
2808,12
2809,13
2810,14
2811,15
2812,16
2813,17
2814,18
2815,19
2816,20
2817,21
2818,22
2819,11
2820,1
2821,2
2822,3
2823,4
2824,5
2825,6
2826,7
2827,8
2828,9
2829,10
2830,11
2831,12
2832,1
2833,2
2834,3
2835,1
2836,2
2837,3
2838,4
2839,5
2840,6
2841,7
2842,8
2843,9
2844,10
2845,11
2846,12
2847,7
2848,8
2849,9
2850,10
2851,11
2852,12
2853,13
2854,14
2855,15
2856,16
2857,17
2858,18
2859,0
2860,0
2861,0
2862,1
2863,0
2864,0
2865,0
2866,1
2867,2
2868,3
2869,4
2870,5
2871,6
2872,7
2873,8
2874,9
2875,0
2876,1
2877,2
2878,3
2879,4
2880,5
2881,6
2882,7
2883,8
2884,9
2885,10
2886,11
2887,15
2888,0
2889,0
2890,1
2891,2
2892,3
2893,4
2894,5
2895,6
2896,7
2897,8
2898,9
2899,10
2900,11
2901,12
2902,13
2903,14
2904,15
2905,16
2906,10
2907,11
2908,12
2909,13
2910,14
2911,15
2912,0
2913,0
2914,1
2915,2
2916,15
2917,16
2918,17
2919,18
2920,19
2921,20
2922,21
2923,22
2924,23
2925,24
2926,25
2927,26
2928,0
2929,0
2930,0
2931,0
2932,0
2933,1
2934,2
2935,3
2936,4
2937,5
2938,6
2939,7
2940,10
2941,11
2942,12
2943,13
2944,14
2945,15
2946,16
2947,17
2948,18
2949,19
2950,20
2951,21
2952,5
2953,6
2954,7
2955,8
2956,9
2957,10
2958,11
2959,12
2960,13
2961,14
2962,15
2963,16
2964,1
2965,2
2966,3
2967,4
2968,0
2969,0
2970,1
2971,2
2972,3
2973,4
2974,5
2975,6
2976,2
2977,3
2978,4
2979,5
2980,6
2981,7
2982,8
2983,9
2984,10
2985,11
2986,12
2987,13
2988,3
2989,4
2990,5
2991,6
2992,7
2993,8
2994,9
