,상장기간
1675,27
1676,28
1677,29
1678,30
1679,31
1680,32
1681,33
1682,34
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,1
1693,23
1694,24
1695,25
1696,26
1697,27
1698,28
1699,29
1700,30
1701,31
1702,32
1703,33
1704,34
1705,6
1706,7
1707,8
1708,9
1709,10
1710,11
1711,12
1712,13
1713,14
1714,15
1715,16
1716,17
1717,39
1718,40
1719,41
1720,42
1721,43
1722,44
1723,45
1724,46
1725,47
1726,48
1727,49
1728,50
1729,23
1730,24
1731,25
1732,26
1733,27
1734,28
1735,29
1736,30
1737,31
1738,32
1739,33
1740,34
1741,2
1742,3
1743,4
1744,5
1745,6
1746,7
1747,8
1748,9
1749,10
1750,11
1751,12
1752,13
1753,39
1754,40
1755,41
1756,42
1757,43
1758,44
1759,45
1760,46
1761,47
1762,48
1763,49
1764,50
1765,5
1766,6
1767,7
1768,8
1769,9
1770,10
1771,11
1772,12
1773,13
1774,14
1775,15
1776,16
1777,36
1778,37
1779,17
1780,18
1781,19
1782,20
1783,21
1784,22
1785,23
1786,24
1787,25
1788,26
1789,27
1790,28
1791,9
1792,10
1793,11
1794,12
1795,13
1796,14
1797,15
1798,16
1799,17
1800,18
1801,19
1802,20
1803,18
1804,19
1805,20
1806,21
1807,22
1808,23
1809,24
1810,25
1811,26
1812,27
1813,28
1814,29
1815,25
1816,26
1817,16
1818,17
1819,18
1820,19
1821,20
1822,21
1823,22
1824,23
1825,24
1826,25
1827,26
1828,27
1829,2
1830,3
1831,4
1832,5
1833,6
1834,7
1835,8
1836,9
1837,10
1838,11
1839,12
1840,13
1841,15
1842,16
1843,17
1844,18
1845,19
1846,20
1847,21
1848,22
1849,23
1850,24
1851,25
1852,26
1853,36
1854,37
1855,38
1856,39
1857,40
1858,41
1859,42
1860,43
1861,44
1862,45
1863,46
1864,47
1865,36
1866,37
1867,38
1868,39
1869,40
1870,41
1871,42
1872,43
1873,44
1874,45
1875,46
1876,47
1877,38
1878,39
1879,40
1880,41
1881,42
1882,43
1883,44
1884,45
1885,46
1886,47
1887,48
1888,49
1889,1
1890,2
1891,3
1892,4
1893,5
1894,6
1895,7
1896,8
1897,9
1898,10
1899,11
1900,12
1901,24
1902,25
1903,26
1904,27
1905,28
1906,29
1907,30
1908,31
1909,32
1910,33
1911,34
1912,35
1913,17
1914,18
1915,19
1916,20
1917,21
1918,22
1919,23
1920,24
1921,25
1922,26
1923,27
1924,28
1925,28
1926,29
1927,30
1928,31
1929,32
1930,33
1931,34
1932,35
1933,36
1934,37
1935,38
1936,39
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,1
1947,2
1948,3
1949,1
1950,2
1951,28
1952,29
1953,30
1954,31
1955,32
1956,33
1957,34
1958,35
1959,36
1960,37
1961,38
1962,39
1963,9
1964,10
1965,11
1966,12
1967,13
1968,14
1969,15
1970,16
1971,17
1972,18
1973,19
1974,20
1975,37
1976,38
1977,39
1978,40
1979,41
1980,42
1981,43
1982,44
1983,45
1984,46
1985,47
1986,48
1987,0
1988,0
1989,0
1990,0
1991,1
1992,2
1993,3
1994,4
1995,5
1996,6
1997,7
1998,4
1999,5
2000,6
2001,7
2002,8
2003,9
2004,10
2005,11
2006,12
2007,13
2008,14
2009,15
2010,35
2011,36
2012,37
2013,38
2014,39
2015,40
2016,41
2017,42
2018,43
2019,44
2020,45
2021,46
2022,39
2023,40
2024,41
2025,42
2026,43
2027,44
2028,45
2029,46
2030,47
2031,48
2032,49
2033,50
2034,6
2035,7
2036,8
2037,9
2038,10
2039,11
2040,12
2041,13
2042,14
2043,15
2044,16
2045,17
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,1
2058,36
2059,37
2060,38
2061,39
2062,40
2063,41
2064,42
2065,43
2066,44
2067,45
2068,46
2069,47
2070,3
2071,4
2072,5
2073,6
2074,7
2075,8
2076,9
2077,10
2078,11
2079,12
2080,13
2081,14
2082,1
2083,2
2084,42
2085,43
2086,44
2087,45
2088,46
2089,47
2090,48
2091,49
2092,50
2093,51
2094,52
2095,53
2096,10
2097,11
2098,12
2099,13
2100,14
2101,11
2102,12
2103,13
2104,14
2105,15
2106,16
2107,17
2108,18
2109,19
2110,20
2111,21
2112,22
2113,0
2114,0
2115,1
2116,4
2117,5
2118,6
2119,7
2120,8
2121,9
2122,10
2123,11
2124,12
2125,13
2126,14
2127,15
2128,0
2129,1
2130,2
2131,3
2132,4
2133,5
2134,6
2135,7
2136,8
2137,9
2138,10
2139,11
2140,11
2141,12
2142,13
2143,14
2144,15
2145,16
2146,17
2147,18
2148,19
2149,20
2150,21
2151,22
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,1
2163,2
2164,3
2165,4
2166,5
2167,6
2168,7
2169,8
2170,9
2171,10
2172,11
2173,12
2174,13
2175,14
2176,24
2177,25
2178,26
2179,27
2180,28
2181,29
2182,30
2183,31
2184,32
2185,33
2186,34
2187,35
2188,36
2189,37
2190,38
2191,39
2192,40
2193,41
2194,42
2195,43
2196,44
2197,45
2198,46
2199,47
2200,2
2201,3
2202,4
2203,5
2204,6
2205,7
2206,8
2207,9
2208,10
2209,11
2210,12
2211,13
2212,16
2213,17
2214,18
2215,19
2216,20
2217,21
2218,22
2219,23
2220,24
2221,25
2222,26
2223,27
2224,18
2225,19
2226,20
2227,21
2228,22
2229,23
2230,24
2231,25
2232,26
2233,27
2234,28
2235,29
2236,1
2237,2
2238,3
2239,4
2240,5
2241,6
2242,37
2243,38
2244,39
2245,40
2246,41
2247,42
2248,43
2249,44
2250,45
2251,46
2252,47
2253,48
2254,9
2255,10
2256,11
2257,12
2258,13
2259,14
2260,15
2261,16
2262,17
2263,18
2264,19
2265,20
2266,17
2267,18
2268,19
2269,20
2270,21
2271,22
2272,23
2273,24
2274,25
2275,26
2276,27
2277,28
2278,0
2279,0
2280,0
2281,0
2282,0
2283,1
2284,2
2285,3
2286,4
2287,5
2288,6
2289,7
2290,24
2291,25
2292,26
2293,27
2294,28
2295,29
2296,30
2297,31
2298,32
2299,33
2300,34
2301,35
2302,10
2303,11
2304,12
2305,13
2306,14
2307,15
2308,16
2309,17
2310,18
2311,19
2312,20
2313,21
2314,2
2315,3
2316,4
2317,5
2318,6
2319,7
2320,8
2321,9
2322,10
2323,11
2324,12
2325,13
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,1
2334,2
2335,3
2336,4
2337,5
2338,6
2339,7
2340,8
2341,9
2342,10
2343,11
2344,12
2345,13
2346,14
2347,15
2348,16
2349,17
2350,18
2351,19
2352,20
2353,21
2354,22
2355,23
2356,24
2357,25
2358,26
2359,27
2360,28
2361,29
2362,5
2363,6
2364,7
2365,8
2366,9
2367,10
2368,11
2369,12
2370,13
2371,14
2372,15
2373,16
2374,22
2375,23
2376,24
2377,25
2378,26
2379,27
2380,28
2381,29
2382,30
2383,31
2384,32
2385,33
2386,16
2387,17
2388,18
2389,19
2390,20
2391,21
2392,22
2393,23
2394,24
2395,25
2396,26
2397,27
2398,23
2399,24
2400,25
2401,26
2402,27
2403,28
2404,29
2405,30
2406,31
2407,32
2408,33
2409,34
2410,8
2411,9
2412,10
2413,11
2414,12
2415,13
2416,14
2417,15
