회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,,-5709,-27432,30605,-2537
(주)고바이오랩,348150,2020/12,632239.67,-10003.96,-217.88,0,0,0,6.74,3.53,0,0,79,41.36,-12771,20992,31045,39348
(주)고바이오랩,348150,2021/12,292399.48,-10814.53,-373.77,0,0,0,12.65,3.35,0,0,380.59,100.7,-12481,-31154,55741,12066
(주)고영테크놀러지,098460,2011/12,259831.77,21156.45,26.38,12.28,18.21,8.84,4.84,2.35,23.63,11.48,3.76,1.83,13904,-15046,-1005,-2158
(주)고영테크놀러지,098460,2012/12,247148.63,22322.3,22.15,11.07,19.13,13.16,3.74,2.57,26.75,18.4,2.82,1.94,11398,-8116,-1627,1310
(주)고영테크놀러지,098460,2013/12,239601.68,19884.9,19.13,12.05,21.4,15.44,3.54,2.55,26.03,18.79,3.05,2.2,13283,-6568,693,7039
(주)고영테크놀러지,098460,2014/12,561417.06,30640.34,22.61,18.32,26.02,12.15,5.53,2.58,24.86,11.61,4.37,2.04,25603,-14448,-5987,5111
(주)고영테크놀러지,098460,2015/12,507867.85,29444.76,21.25,17.25,28.4,18.35,5.38,3.48,43.59,28.17,4.77,3.08,16569,-1979,-8348,6750
(주)고영테크놀러지,098460,2016/12,590412.69,34427.03,22.46,17.15,23.41,15.82,4.51,3.04,36.59,24.72,4.29,2.9,29235,-7025,-3591,19725
(주)고영테크놀러지,098460,2017/12,1111063.81,49108.3,25.99,22.62,43.79,19.86,8.4,3.81,168.95,76.63,6.7,3.04,19941,5201,-22646,-303
(주)고영테크놀러지,098460,2018/12,1111281.62,50226.52,22.85,22.13,37.71,23.26,7.41,4.57,35.56,21.93,7.28,4.49,21765,-72484,26904,-22800
(주)고영테크놀러지,098460,2019/12,1436333.13,48953.85,23.37,29.34,42.48,28.52,6.27,4.21,56.43,37.88,7.04,4.72,29168,-7880,-17435,3985
(주)고영테크놀러지,098460,2020/12,1413303.29,23153.05,14.74,61.04,246.87,118,7.91,3.78,49.42,23.62,11.7,5.59,37796,-7825,-12222,16872
(주)고영테크놀러지,098460,2021/12,1593978.49,54350.98,23.62,29.33,276.07,31.11,40,4.51,247.72,27.91,46.33,5.22,42480,-12063,-7335,23428
(주)골드앤에스,035290,2011/12,37609.2,9679.55,20.37,3.89,35.14,12.9,4.56,1.68,4.46,1.64,0.81,0.3,8629,-8498,-446,-315
(주)골드앤에스,035290,2012/12,46465.85,4895.12,11.15,9.49,0,0,5.26,1.7,30.9,10,1.71,0.55,2479,-9284,9775,2969
(주)골드앤에스,035290,2013/12,28252.04,1376.08,3.76,20.53,0,0,29.02,9.23,0,0,1.02,0.32,-204,-1383,-1352,-2936
(주)골드앤에스,035290,2014/12,50689.27,2134.93,7.25,23.74,0,0,18.06,0.72,0,0,2.39,0.1,-991,-1764,2957,165
(주)골드앤에스,035290,2015/12,119544.97,4127.44,18.59,28.96,0,0,9.51,2.61,52.37,14.36,5.11,1.4,1708,-5567,4121,184
(주)골드앤에스,035290,2016/12,75970.7,2385.41,15.01,31.85,317.23,155.32,10.41,5.1,73.83,36.15,7.75,3.79,1680,95,-1825,-44
(주)골드앤에스,035290,2017/12,103403.61,-2174.39,-16.98,0,0,0,10.7,6,0,0,10.09,5.65,361,-6336,7656,1661
(주)골드앤에스,035290,2018/12,79136.43,-3664.02,-42.21,0,0,0,12.55,3.54,0,0,19.22,5.42,-3137,-12676,28913,13106
(주)골드앤에스,035290,2019/12,47490.95,-5952.59,-77.89,0,0,0,0,0,0,0,36.58,3.09,-6507,-4714,-3273,-14494
(주)골드앤에스,035290,2020/12,26527.39,-2148.73,-51.92,0,27.74,27.74,3.13,3.13,0,0,10.96,10.96,-498,914,6671,7083
(주)골드앤에스,035290,2021/12,49975.14,2231.83,16.52,22.39,552.27,61.34,39.01,4.33,209.1,23.22,31.51,3.5,2036,-5392,-424,-3773
(주)골드퍼시픽,038530,2011/12,27369.43,3276.49,29.16,8.35,43,13.54,2.12,0.67,24.34,7.67,3.79,1.19,,,,
(주)골드퍼시픽,038530,2012/12,31633.85,3084.27,29.4,10.26,218.56,91.07,2.64,1.1,0,0,5.3,2.21,,,,
(주)골드퍼시픽,038530,2013/12,30602.58,-3033.81,-46.76,0,0,0,2.49,1.31,0,0,5.73,3.01,-2334,-6854,9216,28
(주)골드퍼시픽,038530,2014/12,50334.37,-3585.25,-73.84,0,0,0,2.39,0.91,0,0,7.34,2.8,-4906,-3324,8252,23
(주)골드퍼시픽,038530,2015/12,86133.7,-5909.4,-96.54,0,0,0,6.43,2.45,0,0,16.54,6.3,-5636,1338,7139,2841
(주)골드퍼시픽,038530,2016/12,36862.66,-7320.74,-76.35,0,0,0,0,0,0,0,10.38,3.79,,,,
(주)골드퍼시픽,038530,2017/12,37048.58,1048,20.83,35.35,0,0,28.26,1.34,0,0,29.5,1.4,,,,
(주)골드퍼시픽,038530,2018/12,28255.21,-295.29,-5.29,0,0,0,4.33,0.68,0,0,15.51,2.43,-3627,-5614,16531,7255
(주)골드퍼시픽,038530,2019/12,96990.03,-2904.05,-25.65,0,0,0,7.81,2.23,0,0,13.59,3.88,,,,
(주)골드퍼시픽,038530,2020/12,83531.76,1326.13,9.25,62.99,0,0,2.12,0.73,37.37,12.79,8.64,2.96,,,,
(주)골드퍼시픽,038530,2021/12,84042.23,-4106.31,-47.08,0,0,0,3.5,1.39,0,0,24.05,9.55,,,,
