,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,1주당순이익,1주당정상영업이익,시가총액
3928,(주)태양,053620,2013/12,3.629551276332726,5.04,6.78,89.37,-0.29,75.36,25.47,5.47,1.92,1017.0,1086.52,70434000000
3929,(주)태양,053620,2014/12,1.542765787370104,4.64,6.04,89.12,-0.26,78.4,30.72,3.69,1.89,956.0,1034.4,76454000000
3930,(주)태양,053620,2015/12,16.371057109465358,1.85,2.52,91.04,-0.16,69.17,12.86,7.72,1.4,416.0,188.51,86000000000
3931,(주)태양,053620,2016/12,0.4053618075285939,6.67,9.23,79.03,0.11,75.44,20.93,8.76,1.52,1614.0,2159.09,103630000000
3932,(주)태양,053620,2017/12,-2.458111560846424,3.64,4.69,83.03,0.12,80.1,27.33,5.94,1.64,872.0,1635.97,101910000000
3933,(주)태양,053620,2021/12,4.72605894326055,2.27,2.85,86.51,-0.13,79.66,27.0,2.08,1.19,604.0,293.56,77228000000
3934,(주)태웅,044490,2011/12,26.89082400649913,2.28,3.47,88.75,-0.3,60.3,41.85,3.34,0.86,928.0,1169.01,455125508000
3935,(주)태웅,044490,2012/12,-12.129024577369773,1.17,1.81,90.12,-0.19,69.83,36.65,7.83,0.69,500.0,619.07,342174652000
3936,(주)태웅,044490,2013/12,-2.249027905107281,0.9,1.23,90.26,1.87,77.36,42.71,6.2,0.76,344.0,559.54,506413596250
3937,(주)태웅,044490,2014/12,17.66975130400233,0.99,1.3,90.21,-0.85,75.25,31.87,2.43,0.8,385.0,457.25,301545108800
3938,(주)태웅,044490,2015/12,12.57373198008075,0.96,1.35,87.49,-0.63,67.66,23.02,3.75,0.75,429.0,335.16,290645888000
3939,(주)태웅,044490,2016/12,13.56749159167084,1.52,2.3,83.71,-0.56,64.93,24.44,4.38,0.73,764.0,709.28,416942410250
3940,(주)태웅로직스,124560,2019/12,31.981900452488688,12.43,30.62,86.7,0.3,47.16,32.15,13.28,2.62,664.0,916.04,90191500000
3941,(주)태웅로직스,124560,2020/12,40.13759371000183,7.55,15.65,88.25,0.18,48.26,26.29,5.91,2.53,469.0,830.22,101005214640
3942,(주)태웅로직스,124560,2021/12,168.6485737119371,28.25,70.54,87.67,0.11,36.95,23.97,-0.28,3.04,3389.0,4058.58,171728401680
3943,(주)테라젠이텍스,066700,2015/12,9.73418940099132,-6.47,-11.27,63.44,0.26,55.03,28.33,0.03,0.75,-299.0,89.42,187751898000
3944,(주)테라젠이텍스,066700,2016/12,2.196830184301727,1.46,3.16,69.29,0.74,56.06,23.45,-2.96,0.76,81.0,47.08,162278609680
3945,(주)테라젠이텍스,066700,2017/12,3.16765515480008,0.8,1.6,69.79,0.71,64.4,28.71,-2.27,0.88,45.0,7.1,330647371650
3946,(주)테스,095610,2012/12,23.895842145860808,1.77,2.8,84.84,-0.04,57.38,12.57,11.61,0.9,167.0,131.94,52705317600
3947,(주)테스,095610,2013/12,-8.033338354169803,5.44,7.76,78.34,0.44,70.14,41.73,-7.71,1.06,526.0,648.23,118082952000
3948,(주)테스,095610,2014/12,20.76650106458481,14.5,19.89,75.31,-0.72,75.93,41.43,8.68,1.39,0.0,1591.68,186301237650
3949,(주)테스,095610,2015/12,9.052113847600449,10.78,14.11,79.22,-0.29,78.07,46.01,9.63,1.01,1221.0,921.33,161525603500
3950,(주)테스,095610,2016/12,53.25329972806261,20.46,25.85,73.12,-0.15,80.15,49.74,5.26,1.35,1764.0,1918.71,520078388000
3951,(주)테스,095610,2017/12,31.18508179693585,25.4,32.17,71.93,-0.65,78.19,49.71,12.2,1.43,2781.0,3217.59,755146233200
3952,(주)테스,095610,2018/12,-0.276296635366794,17.52,21.09,73.43,-0.65,87.85,59.18,15.02,1.37,2192.0,2924.76,240183945900
3953,(주)테스,095610,2019/12,2.5138220930184474,3.98,4.56,83.48,-0.58,86.7,61.18,14.13,0.87,508.0,594.34,494205650000
3954,(주)테스,095610,2020/12,10.878492307444072,11.48,13.3,78.85,-0.45,86.04,52.31,10.7,1.14,1580.0,1602.56,586127900900
3955,(주)테스,095610,2021/12,22.58340306326627,21.96,25.09,75.28,-0.56,87.54,49.63,22.71,1.52,3936.0,3145.68,588104723500
3956,(주)테크엘,064520,2014/12,5.503939201018622,1.11,4.26,90.75,1.9,29.99,-1.91,7.81,1.74,30.0,181.29,47974415565
3957,(주)테크엘,064520,2015/12,15.409057052073807,3.51,7.54,91.38,1.13,46.58,21.51,7.73,1.81,92.0,96.42,192414930750
3958,(주)테크엘,064520,2016/12,1.9607202379007225,1.35,2.73,92.67,0.67,51.75,19.25,-0.5,1.87,27.0,37.4,108344984120
