,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,시가총액
150,(주)국동,005320,2013/12,10.99106491611962,5.78,32.29,83.58,1.02,21.1,-3.65,1.76,1.57,8310582280
151,(주)국동,005320,2014/12,22.22039676346162,10.96,40.4,82.35,1.02,32.08,18.61,-1.35,1.82,46961240000
152,(주)국동,005320,2015/12,5.027388513627046,5.72,17.49,82.56,1.26,33.3,20.24,2.08,1.6,47430852400
153,(주)국동,005320,2016/12,32.38942394863427,5.7,14.97,81.4,1.01,41.67,28.48,1.88,1.64,47253275480
154,(주)국보,001140,2011/12,2.306498344370861,-0.04,-0.12,92.99,1.38,34.86,-13.03,1.19,1.42,11608535200
155,(주)국보,001140,2012/12,-0.378278327888418,-0.89,-2.62,92.18,1.35,34.31,-14.33,-0.18,1.3,12584474000
156,(주)국보,001140,2013/12,-0.1827503934209858,-3.91,-12.14,92.02,1.11,30.28,-18.45,-0.41,1.26,11505804800
157,(주)금양,001570,2011/12,19.88453079178886,2.47,6.86,84.05,2.7,34.53,-0.39,0.02,0.83,31679412940
158,(주)금양,001570,2012/12,-2.492776223455488,2.88,8.23,83.38,2.94,35.7,4.73,1.14,0.88,41714506480
159,(주)금양,001570,2013/12,15.332753200529956,0.52,1.47,86.9,1.96,30.97,4.69,-4.52,1.01,45059537660
160,(주)금양,001570,2014/12,8.924990653570337,-0.07,-0.25,87.33,1.68,27.76,23.56,5.38,0.88,53126965800
161,(주)금양,001570,2015/12,3.2206933133639115,8.89,28.69,85.59,1.17,35.04,12.3,12.53,0.8,73590685960
162,(주)금양,001570,2016/12,8.159317074350387,-11.92,-44.99,81.53,1.55,19.27,-23.05,4.29,0.77,117469624380
163,(주)금양,001570,2017/12,9.604140814524154,9.94,41.19,80.34,1.74,29.37,0.92,-3.59,0.74,105921075280
164,(주)금양,001570,2018/12,4.433304094163725,10.1,29.84,80.32,1.49,38.8,7.25,-1.16,0.82,100933970900
165,(주)금양,001570,2019/12,9.496183653437642,-5.08,-14.85,79.26,1.27,30.46,-4.42,3.74,0.67,105715524000
166,(주)금양,001570,2020/12,-1.9493985897967647,-1.78,-5.36,82.25,3.1,36.29,20.9,-0.25,0.74,291598653700
167,(주)금양,001570,2021/12,43.20179029528956,4.99,13.57,80.54,2.66,37.29,21.4,-6.4,0.82,239393449620
168,(주)금호에이치티,214330,2015/12,11.795390141328086,12.76,21.54,84.25,0.51,65.7,38.37,1.67,1.66,96673500000
169,(주)금호에이치티,214330,2016/12,26.42239013206755,5.96,11.31,88.49,0.61,55.09,26.36,10.64,1.57,61910100000
170,(주)금호에이치티,214330,2017/12,-4.114120058490362,3.22,5.57,89.72,0.54,60.44,27.68,12.53,1.3,48043800000
171,(주)금호에이치티,214330,2018/12,58.74643722863004,4.01,7.23,89.88,1.27,52.38,28.86,3.28,1.11,83798183490
172,(주)금호에이치티,214330,2019/12,35.11116704421512,-0.03,-0.05,94.2,4.16,53.6,22.49,1.35,0.87,137476105200
173,(주)까뮤이앤씨,013700,2016/12,10.437569999613796,2.39,6.72,92.0,1.19,35.75,-24.46,-0.65,1.11,49893269400
174,(주)까뮤이앤씨,013700,2017/12,-2.1262012337562424,5.96,15.31,89.05,0.97,42.24,-20.35,-0.57,1.45,45603802800
175,(주)까뮤이앤씨,013700,2018/12,1.645014220583401,1.23,2.93,89.86,1.36,41.87,-13.73,0.47,1.08,60052532400
176,(주)까뮤이앤씨,013700,2019/12,18.72609673790776,8.68,20.68,90.03,0.34,42.0,12.94,0.24,2.44,57343395600
177,(주)까뮤이앤씨,013700,2020/12,-1.5739359056349038,5.49,11.98,91.94,0.6,49.79,1.74,-4.33,1.41,135231078600
178,(주)나이스홀딩스,034310,2011/12,2.732327091172075,8.02,9.82,0.0,-0.76,75.38,8.33,7.06,1.08,175699775600
179,(주)나이스홀딩스,034310,2012/12,16.01594110025399,9.71,12.09,0.0,-0.96,79.56,4.96,7.41,1.27,219970585200
180,(주)나이스홀딩스,034310,2013/12,74.46689271732512,9.36,9.93,0.0,-0.19,65.96,17.96,7.59,1.79,447011140000
181,(주)나이스홀딩스,034310,2014/12,37.61684672713617,5.22,7.05,0.0,0.42,56.01,11.19,10.07,1.13,577705075000
182,(주)나이스홀딩스,034310,2015/12,4.319797146107699,5.17,6.09,0.0,0.22,55.97,7.79,9.35,1.06,823940025000
183,(주)나이스홀딩스,034310,2016/12,13.344477944455086,6.85,10.65,0.0,0.26,54.91,15.45,8.03,1.1,666728480000
184,(주)나이스홀딩스,034310,2017/12,23.7254243378143,5.89,9.21,0.0,0.29,50.39,19.57,7.71,0.91,554975695000
185,(주)나이스홀딩스,034310,2018/12,24.71413886971,5.07,10.01,13.77,0.45,47.86,13.38,8.68,0.82,679987285000
186,(주)나이스홀딩스,034310,2019/12,18.032810272354343,3.28,4.39,0.0,0.56,47.71,14.42,9.93,0.79,791740070000
187,(주)나이스홀딩스,034310,2020/12,6.453768616752709,2.0,2.43,0.0,0.54,45.77,11.44,10.44,0.76,736810735000
188,(주)나이스홀딩스,034310,2021/12,12.944397340272602,3.48,8.01,0.0,0.59,42.82,6.05,8.74,0.82,606116800000
189,(주)남선알미늄,008350,2011/12,23.23040988976557,10.53,42.18,91.31,1.72,28.6,-6.43,-1.19,1.15,68311035800
190,(주)남선알미늄,008350,2015/12,19.049441998651808,5.65,15.62,87.45,0.59,36.02,3.92,-0.13,1.28,136071176150
191,(주)남선알미늄,008350,2016/12,-0.9395250644874904,7.16,18.08,88.26,0.37,43.25,3.04,4.76,1.39,131113117100
192,(주)남선알미늄,008350,2017/12,0.4357582899927315,7.65,16.08,88.95,0.35,51.93,11.37,12.57,1.56,109077299100
193,(주)남선알미늄,008350,2018/12,6.454967345748623,8.32,14.95,89.97,0.34,55.68,12.56,7.99,1.58,311806824700
194,(주)남선알미늄,008350,2019/12,-2.4727495932651977,4.84,8.33,89.26,0.23,60.6,15.99,8.77,1.57,355878460700
195,(주)남성,004270,2015/12,3.184410403293865,-0.26,-0.6,74.6,4.5,35.19,-20.52,-3.75,0.45,72243259200
196,(주)남성,004270,2016/12,1.384944061940805,0.65,1.87,73.54,4.55,35.88,-25.25,-0.31,0.49,66449313600
197,(주)남성,004270,2017/12,-0.5373163517246436,0.67,1.68,72.92,3.71,42.96,-15.79,3.34,0.54,78218265600
198,(주)남성,004270,2018/12,0.8100827778760888,-1.75,-4.11,77.1,3.74,40.36,-12.59,1.88,0.48,69165225600
199,(주)남성,004270,2019/12,-0.1423806830371945,-1.07,-2.52,74.1,3.62,41.96,-3.24,-1.69,0.42,114068304000
200,(주)넥센,005720,2011/12,11.544001367696714,7.93,13.09,85.67,0.96,61.21,4.09,2.66,1.06,204862410000
201,(주)넥센,005720,2012/12,38.10644131052439,11.98,17.71,81.48,0.87,73.03,1.15,4.18,1.11,396356524300
202,(주)넥센,005720,2013/12,9.202354413276383,9.16,12.26,69.51,0.54,75.38,1.37,4.18,1.47,396356524300
203,(주)넥센,005720,2014/12,6.357890992701935,9.72,12.56,65.97,0.48,78.54,-0.34,3.27,1.44,442657479000
204,(주)넥센,005720,2015/12,5.472717630702639,9.04,11.25,61.36,0.41,82.09,2.98,4.0,1.43,393303714100
205,(주)넥센,005720,2016/12,9.913098031399764,10.72,12.86,55.72,-0.03,84.56,3.1,3.19,1.59,411111773600
206,(주)넥센,005720,2017/12,11.832747271541503,7.96,9.42,65.48,-0.16,84.49,5.77,0.38,1.37,406398785430
